accuracy,loss,val_accuracy,val_loss
0.8928518295288086,0.3529488444328308,0.9788333177566528,0.07775897532701492
0.9677963256835938,0.10686782747507095,0.9854999780654907,0.052810944616794586
0.974148154258728,0.08083055913448334,0.9865000247955322,0.04750305786728859
0.9792962670326233,0.06821775436401367,0.987666666507721,0.04200538620352745
0.9807037115097046,0.06082760915160179,0.9888333082199097,0.03844786062836647
0.9828888773918152,0.05518852546811104,0.9893333315849304,0.03691720589995384
0.9841111302375793,0.05143654718995094,0.9894999861717224,0.03637281060218811
0.9846481680870056,0.04874188080430031,0.9908333420753479,0.033337466418743134
0.9866851568222046,0.04307503253221512,0.9909999966621399,0.03177567943930626
0.9868333339691162,0.040770210325717926,0.9903333187103271,0.031254321336746216
0.987333357334137,0.03950751572847366,0.9906666874885559,0.031650807708501816
0.9873889088630676,0.03837723284959793,0.9916666746139526,0.029839472845196724
0.9889444708824158,0.035619840025901794,0.9921666383743286,0.030760396271944046
0.9891481399536133,0.034567221999168396,0.9923333525657654,0.028686335310339928
0.9888148307800293,0.03300273418426514,0.9916666746139526,0.02894853800535202
